word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
abandon,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热",n:4/v:96,3,1,gk cet4 cet6 ky toefl gre,2057,2182,abandon
ability,ability,ә'biliti,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done","n. 能力, 才干
[经] 能力, 才能",n:100,4,1,zk gk cet4 ky toefl ielts,946,783,ability
abnormal,abnormal,æb'nɒ:mәl,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal","a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人",j:100,1,0,gk cet4 cet6 ky toefl ielts,6548,8241,abnormal
aboard,aboard,ә'bɒ:d,"r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group","adv. 在船上, 在火车上, 在飞机上
prep. 在...之上",i:66/r:34,2,0,gk cet4 ky toefl,7625,4984,aboard
absence,absence,'æbsәns,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有
[医] 失神",n:100,3,1,gk cet4 cet6 ky toefl,1585,2524,absence
absent,absent,'æbsәnt,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation","a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席",j:86/v:14,2,1,zk gk cet4 cet6 ky toefl,4300,5516,absent
absolute,absolute,'æbsәlu:t,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law","a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物",j:97/n:3,3,1,gk cet4 cet6 ky toefl gre,2420,3165,absolute
absolutely,absolutely,'æbsәlu:tli,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question","adv. 完全地, 绝对地, 确确实实地",r:100,4,1,cet4 toefl,1619,1149,absolutely
absorb,absorb,әb'sɒ:b,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically","vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收",v:100,2,1,gk cet4 cet6 ky toefl ielts gre,2879,3120,absorb
abstract,abstract,'æbstrækt,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment","a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象",n:6/j:87/v:7,2,0,gk cet4 cet6 ky toefl ielts gre,3729,4007,abstract
