word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
abandon,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热",n:4/v:96,3,1,gk cet4 cet6 ky toefl gre,2057,2182,abandon
abase,abase,ә'beis,v cause to feel shame; hurt the pride of,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑",v:100,0,0,gre,41733,41704,abase
abash,abash,ә'bæʃ,v cause to be embarrassed; cause to feel self-conscious,"vt. 使不安, 使羞愧, 使困窘",v:100,0,0,gre,48446,41079,abash
abate,abate,ә'beit,v. become less in amount or intensity,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除",v:100,1,0,toefl gre,13783,13243,abate
abbreviate,abbreviate,ә'bri:vieit,v. shorten,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词",v:100,0,0,toefl gre,20690,22759,abbreviate
abbreviation,abbreviation,ә.bri:vi'eiʃәn,"n. a shortened form of a word or phrase
n. shortening something by omitting parts of it","n. 缩写词, 缩写, 缩短, 节略",n:100,0,0,cet6 toefl ielts,15465,20008,abbreviation
abdicate,abdicate,'æbdikeit,"v. give up, such as power, as of monarchs and emperors, or duties and obligations","vt. 正式放弃
vi. 退位, 退出, 辞职",v:100,0,0,toefl gre,18884,19114,abdicate
abduct,abduct,æb'dʌkt,v. pull away from the body,"vt. 诱拐, 绑架, 使外展
[医] 外展, 展",v:100,1,0,toefl gre,15203,11439,abduct
aberrant,aberrant,æ'berәnt,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm","a. 偏离正路的, 偏离常轨的, 畸变的
[化] 异常的",j:88/n:12,0,0,gre,22869,21296,aberrant
aberration,aberration,æbә'reiʃәn,"n. a disorder in one's mental state
n. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image","n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
[化] 光行差; 像差",n:100,1,0,gre,14308,12462,aberration
abet,abet,ә'bet,"v. assist or encourage, usually in some wrongdoing","vt. 教唆, 煽动, 怂恿, 帮助, 支持",v:100,0,0,gre,14447,15345,abet
abeyance,abeyance,ә'beiәns,n. temporary cessation or suspension,"n. 中止, 暂搁, 停止, 归属待定
[化] 潜态",n:100,0,0,gre,19462,29581,abeyance
abhor,abhor,әb'hɒ:,v. find repugnant,"vt. 憎恶, 痛恨, 回避, 拒绝",v:100,0,0,toefl gre,18438,16665,abhor
abhorrent,abhorrent,әb'hɒrәnt,s. offensive to the mind,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的",j:100,0,0,toefl gre,20689,22815,abhorrent
abide,abide,ә'baid,"v dwell
v put up with something or somebody unpleasant","vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于",v:100,1,0,cet6 ky toefl gre,9496,8457,abide
ability,ability,ә'biliti,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done","n. 能力, 才干
[经] 能力, 才能",n:100,4,1,zk gk cet4 ky toefl ielts,946,783,ability
abject,abject,'æbdʒekt,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness","a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
[法] 卑鄙的, 卑下的, 可怜的",j:100,1,0,toefl gre,18555,16479,abject
abjure,abjure,әb'dʒuә,"v. formally reject or disavow a formerly held belief, usually under pressure","vt. 发誓断绝, 公开放弃
[法] 誓绝, 弃绝, 公开放弃",v:100,0,0,gre,35014,30718,abjure
ablution,ablution,ә'blu:ʃәn,n. the ritual washing of a priest's hands or of sacred vessels,"n. 洗澡, 洗礼, 斋戒沐浴
[化] 洗净; 洗净液",n:100,0,0,toefl gre,34589,31213,ablution
