word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
the,the,ðә,"v. i. See Thee.
definite article. A word placed before nouns to limit or
   individualize their meaning.
adv. By that; by how much; by so much; on that account; -- used
   before comparatives; as, the longer we continue in sin, the more
   difficult it is to reform.",art. 那,a:100,5,1,zk gk,1,1,the
be,be,bi:,"v. have the quality of being; (copula, used with an adjective or a predicate noun)
v. be identical to; be someone or something
v. occupy a certain position or area; be somewhere
v. happen, occur, take place; this was during the visit to my parents' house""","v. 是, 表示, 在
[计] 后端, 总线允许",v:100,5,1,zk gk,2,2,be
of,of,ɒv,"prep. In a general sense, from, or out from; proceeding from;
   belonging to; relating to; concerning; -- used in a variety of
   applications; as:
prep. Denoting that from which anything proceeds; indicating
   origin, source, descent, and the like; as, he is of a race of kings; he
   is of noble blood.
prep. Denoting possession or ownership, or the relation of subject
   to attribute; as, the apartment of the consul: the power of the king; a
   man of courage; the gate of heaven.
prep. Denoting the material of which anything is composed, or that
   which it contains; as, a throne of gold; a sword of steel; a wreath of
   mist; a cup of water.
prep. Denoting part of an aggregate or whole; belonging to a
   number or quantity mentioned; out of; from amongst; as, of this little
   he had some to spare; some of the mines were unproductive; most of the
   company.
prep. Denoting that by which a person or thing is actuated or
   impelled; also, the source of a purpose or action; as, they went of
   their own will; no body can move of itself; he did it of necessity.
prep. Denoting reference to a thing; about; concerning; relating
   to; as, to boast of one's achievements.
prep. Denoting nearness or distance, either in space or time;
   from; as, within a league of the town; within an hour of the appointed
   time.
prep. Denoting identity or equivalence; -- used with a name or
   appellation, and equivalent to the relation of apposition; as, the
   continent of America; the city of Rome; the Island of Cuba.
prep. Denoting the agent, or person by whom, or thing by which,
   anything is, or is done; by.
prep. Denoting relation to place or time; belonging to, or
   connected with; as, men of Athens; the people of the Middle Ages; in
   the days of Herod.
prep. Denoting passage from one state to another; from.
prep. During; in the course of.","prep. 的, 属于",i:100,5,1,zk gk,3,4,of
and,and,ænd,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj.","conj. 和, 与
[计] 与",c:99/n:1,5,1,zk gk,4,3,and
a,a,ei,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen","第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",a:99/t:1,5,1,zk gk,5,5,a
to,to,tu:,"prep. The preposition to primarily indicates approach and arrival,
   motion made in the direction of a place or thing and attaining it,
   access; and also, motion or tendency without arrival; movement toward;
   -- opposed to from.
prep. Hence, it indicates motion, course, or tendency toward a
   time, a state or condition, an aim, or anything capable of being
   regarded as a limit to a tendency, movement, or action; as, he is going
   to a trade; he is rising to wealth and honor.
prep. In a very general way, and with innumerable varieties of
   application, to connects transitive verbs with their remoter or
   indirect object, and adjectives, nouns, and neuter or passive verbs
   with a following noun which limits their action. Its sphere verges upon
   that of for, but it contains less the idea of design or appropriation;
   as, these remarks were addressed to a large audience; let us keep this
   seat to ourselves; a substance sweet to the taste; an event painful to
   the mind; duty to God and to our parents; a dislike to spirituous
   liquor.
prep. As sign of the infinitive, to had originally the use of last
   defined, governing the infinitive as a verbal noun, and connecting it
   as indirect object with a preceding verb or adjective; thus, ready to
   go, i.e., ready unto going; good to eat, i.e., good for eating; I do my
   utmost to lead my life pleasantly. But it has come to be the almost
   constant prefix to the infinitive, even in situations where it has no
   prepositional meaning, as where the infinitive is direct object or
   subject; thus, I love to learn, i.e., I love learning; to die for one's
   country is noble, i.e., the dying for one's country. Where the
   infinitive denotes the design or purpose, good usage formerly allowed
   the prefixing of for to the to; as, what went ye out for see? (Matt.
   xi. 8).
prep. In many phrases, and in connection with many other words, to
   has a pregnant meaning, or is used elliptically.
prep. Extent; limit; degree of comprehension; inclusion as far as;
   as, they met us to the number of three hundred.
prep. Effect; end; consequence; as, the prince was flattered to
   his ruin; he engaged in a war to his cost; violent factions exist to
   the prejudice of the state.
prep. Apposition; connection; antithesis; opposition; as, they
   engaged hand to hand.
prep. Accord; adaptation; as, an occupation to his taste; she has
   a husband to her mind.
prep. Comparison; as, three is to nine as nine is to twenty-seven;
   it is ten to one that you will offend him.
prep. Addition; union; accumulation.
prep. Accompaniment; as, she sang to his guitar; they danced to
   the music of a piano.
prep. Character; condition of being; purpose subserved or office
   filled.","prep. 到, 向, 趋于
adv. 向前",i:38/t:62,5,1,zk gk,7,7,to
have,have,hæv,"v. have or possess, either in a concrete or an abstract sense
v. have as a feature
v. have a personal or business relationship with someone
v. have left","vt. 有, 怀有, 拿, 进行
aux. 已经",n:1/v:99,5,1,zk gk,8,8,have
it,it,it,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,"pron. 它
[计] 信息论, 输入终端, 智能终端, 内捕获",p:100,5,1,zk gk,9,10,it
he,he,hi:,n. the 5th letter of the Hebrew alphabet,"pron. 他
n. 男孩, 男人, 雄性动物",p:100,5,1,zk gk,11,15,he
for,for,fɒ:,"prep. In the most general sense, indicating that in consideration
   of, in view of, or with reference to, which anything is done or takes
   place.
prep. Indicating the antecedent cause or occasion of an action;
   the motive or inducement accompanying and prompting to an act or state;
   the reason of anything; that on account of which a thing is or is done.
prep. Indicating the remoter and indirect object of an act; the
   end or final cause with reference to which anything is, acts, serves,
   or is done.
prep. Indicating that in favor of which, or in promoting which,
   anything is, or is done; hence, in behalf of; in favor of; on the side
   of; -- opposed to against.
prep. Indicating that toward which the action of anything is
   directed, or the point toward which motion is made; /ntending to go to.
prep. Indicating that on place of or instead of which anything
   acts or serves, or that to which a substitute, an equivalent, a
   compensation, or the like, is offered or made; instead of, or place of.
prep. Indicating that in the character of or as being which
   anything is regarded or treated; to be, or as being.
prep. Indicating that instead of which something else controls in
   the performing of an action, or that in spite of which anything is
   done, occurs, or is; hence, equivalent to notwithstanding, in spite of;
   -- generally followed by all, aught, anything, etc.
prep. Indicating the space or time through which an action or
   state extends; hence, during; in or through the space or time of.
prep. Indicating that in prevention of which, or through fear of
   which, anything is done.
conj. Because; by reason that; for that; indicating, in Old
   English, the reason of anything.
conj. Since; because; introducing a reason of something before
   advanced, a cause, motive, explanation, justification, or the like, of
   an action related or a statement made. It is logically nearly
   equivalent to since, or because, but connects less closely, and is
   sometimes used as a very general introduction to something suggested by
   what has gone before.
n. One who takes, or that which is said on, the affrimative side;
   that which is said in favor of some one or something; -- the antithesis
   of against, and commonly used in connection with it.","prep. 为, 因为, 至于
conj. 因为
[计] DOS批处理命令:对一组参数重复执行指定的命令",i:99/c:1,5,1,zk gk,12,13,for
not,not,nɒt,r. negation of a word or group of words,"adv. 不, 非, 未
[计] 非",c:1/r:99,5,1,zk gk,13,28,not
that,that,ðæt,"pron., a., conj., &  As a demonstrative pronoun (pl. Those),
   that usually points out, or refers to, a person or thing previously
   mentioned, or supposed to be understood. That, as a demonstrative, may
   precede the noun to which it refers; as, that which he has said is
   true; those in the basket are good apples.
pron., a., conj., &  As an adjective, that has the same
   demonstrative force as the pronoun, but is followed by a noun.
pron., a., conj., &  As a relative pronoun, that is
   equivalent to who or which, serving to point out, and make definite, a
   person or thing spoken of, or alluded to, before, and may be either
   singular or plural.
pron., a., conj., &  As a conjunction, that retains much of
   its force as a demonstrative pronoun.
pron., a., conj., &  To introduce a clause employed as the
   object of the preceding verb, or as the subject or predicate nominative
   of a verb.
pron., a., conj., &  To introduce, a reason or cause; --
   equivalent to for that, in that, for the reason that, because.
pron., a., conj., &  To introduce a purpose; -- usually
   followed by may, or might, and frequently preceded by so, in order, to
   the end, etc.
pron., a., conj., &  To introduce a consequence, result, or
   effect; -- usually preceded by so or such, sometimes by that.
pron., a., conj., &  In an elliptical sentence to introduce
   a dependent sentence expressing a wish, or a cause of surprise,
   indignation, or the like.
pron., a., conj., &  As adverb: To such a degree; so; as, he
   was that frightened he could say nothing.","a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样",p:1/c:66/d:33,5,1,zk gk,14,12,that
you,you,ju:,"dat. & obj. The pronoun of the second person, in the nominative,
   dative, and objective case, indicating the person or persons addressed.
   See the Note under Ye.","pron. 你, 你们",p:100,5,1,zk gk,15,14,you
with,with,wið,"n. See Withe.
prep. With denotes or expresses some situation or relation of
   nearness, proximity, association, connection, or the like.
prep. To denote a close or direct relation of opposition or
   hostility; -- equivalent to against.
prep. To denote association in respect of situation or
   environment; hence, among; in the company of.
prep. To denote a connection of friendship, support, alliance,
   assistance, countenance, etc.; hence, on the side of.
prep. To denote the accomplishment of cause, means, instrument,
   etc; -- sometimes equivalent to by.
prep. To denote association in thought, as for comparison or
   contrast.
prep. To denote simultaneous happening, or immediate succession
   or consequence.
prep. To denote having as a possession or an appendage; as, the
   firmament with its stars; a bride with a large fortune.","prep. 和...在一起, 以, 由于",i:100,5,1,zk gk,16,16,with
on,on,ɒn,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective","prep. 在...之上
adv. ...上去
a. 正起作用的
[计] 打开",i:91/r:8/j:1,5,1,zk gk ielts,17,17,on
they,they,ðei,"obj. The plural of he, she, or it. They is never used
   adjectively, but always as a pronoun proper, and sometimes refers to
   persons without an antecedent expressed.","pron. 他们, 它们",p:100,5,1,zk gk,18,21,they
do,do,du:,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way","v. 做, 进行, 完成",v:100,5,1,zk gk,19,18,do
by,by,bai,r. so as to pass a given point,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处",i:97/r:3,5,1,zk gk,20,30,by
she,she,ʃi:,"obj. This or that female; the woman understood or referred to;
   the animal of the female sex, or object personified as feminine, which
   was spoken of.
obj. A woman; a female; -- used substantively.",pron. 她,p:100,5,1,zk gk,21,31,she
at,at,æt,n. 100 at equal 1 kip in Laos,"prep. 在, 向, 对
[计] 地址转换器, 异常传输, 自动订票",i:100,5,1,zk gk,22,22,at
this,this,θis,"pron. & a. As a demonstrative pronoun, this denotes something
   that is present or near in place or time, or something just mentioned,
   or that is just about to be mentioned.
pron. & a. As an adjective, this has the same demonstrative
   force as the pronoun, but is followed by a noun; as, this book; this
   way to town.","pron. 这, 本
a. 这, 本
adv. 这么",r:1/d:99,5,1,zk gk,23,20,this
but,but,bʌt,r and nothing more,"prep. 除了
conj. 但是
adv. 仅仅",i:2/c:98,5,1,zk gk,24,23,but
his,his,hiz,"pron. Belonging or pertaining to him; -- used as a pronominal
   adjective or adjective pronoun; as, tell John his papers are ready;
   formerly used also for its, but this use is now obsolete.
pron. The possessive of he; as, the book is his.","pron. 他的
[化] 组氨酸",a:98/p:2,5,1,zk gk,25,25,his
we,we,wi:,"pl.  of I
obj. The plural nominative case of the pronoun of the first
   person; the word with which a person in speaking or writing denotes a
   number or company of which he is one, as the subject of an action
   expressed by a verb.",pron. 我们,p:100,5,1,zk gk,26,24,we
from,from,frɒm,"prep. Out of the neighborhood of; lessening or losing proximity
   to; leaving behind; by reason of; out of; by aid of; -- used whenever
   departure, setting out, commencement of action, being, state,
   occurrence, etc., or procedure, emanation, absence, separation, etc.,
   are to be expressed. It is construed with, and indicates, the point of
   space or time at which the action, state, etc., are regarded as setting
   out or beginning; also, less frequently, the source, the cause, the
   occasion, out of which anything proceeds; -- the aritithesis and
   correlative of to; as, it, is one hundred miles from Boston to
   Springfield; he took his sword from his side; light proceeds from the
   sun; separate the coarse wool from the fine; men have all sprung from
   Adam, and often go from good to bad, and from bad to worse; the merit
   of an action depends on the principle from which it proceeds; men judge
   of facts from personal knowledge, or from testimony.","prep. 从, 来自, 根据",i:100,5,1,zk gk,27,26,from
which,which,hwitʃ,"a. Of what sort or kind; what; what a; who.
a. A interrogative pronoun, used both substantively and
   adjectively, and in direct and indirect questions, to ask for, or refer
   to, an individual person or thing among several of a class; as, which
   man is it? which woman was it? which is the house? he asked which route
   he should take; which is best, to live or to die? See the Note under
   What, pron., 1.
pron. A relative pronoun, used esp. in referring to an
   antecedent noun or clause, but sometimes with reference to what is
   specified or implied in a sentence, or to a following noun or clause
   (generally involving a reference, however, to something which has
   preceded). It is used in all numbers and genders, and was formerly used
   of persons.
pron. A compound relative or indefinite pronoun, standing for
   any one which, whichever, that which, those which, the . . . which, and
   the like; as, take which you will.","pron. 哪一个, 那一个",d:100,5,1,zk gk,28,58,which
or,or,ɒ:,"n a state in northwestern United States on the Pacific
n a room in a hospital equipped for the performance of surgical operations","conj. 或, 或者
[计] 或",c:100,5,1,zk gk,29,32,or
will,will,wil,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice","n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须",n:3/v:97,4,1,zk gk,31,48,will
say,say,sei,"n. the chance to speak
v. communicate or express nonverbally
v. utter aloud
v. state as one's opinion or judgement; declare","vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权",r:1/v:99,5,1,zk gk ielts,32,19,say
as,as,æz,"n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
n a United States territory on the eastern part of the island of Samoa
n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
n the basic unit of electric current adopted under the Systeme International d'Unites
n the 1st letter of the Roman alphabet
n the blood group whose red cells carry the A antigen
r to the same degree (often followed by `as')","adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
[计] 高级系统, 先进系统, 辅助存储器, 自治系统",i:34/c:53/r:13,5,1,zk gk ielts,33,33,as
would,would,wud,"imp. of Will
v. t. Commonly used as an auxiliary verb, either in the past
   tense or in the conditional or optative present. See 2d & 3d Will.
n. See 2d Weld.","aux. 将, 愿意",v:100,5,1,zk gk,34,41,would
